username,comment,profile_url,source,avatar_url
Moaz Antar,3/2 للأرجنتين,https://www.facebook.com/moazanter318,Facebook,https://scontent-bos5-1.xx.fbcdn.net/v/t39.30808-1/484239713_2753284361726317_2480791679552934514_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1292x1280&ctp=s32x32&_nc_cat=106&ccb=1-7&_nc_sid=1d2534&_nc_ohc=QdEyxuUJpqQQ7kNvwF73UDG&_nc_oc=AdqOGin-gnjyfHkyBqUYfOQK4scdDACogihVvifbTU8KFeU-Cz9bcjs-gxvapVec4DE&_nc_zt=24&_nc_ht=scontent-bos5-1.xx&_nc_gid=6AIAkyFRfD4R8FCsU_0scQ&_nc_ss=72289&oh=00_AQCPIsgz_3vcPhyP9cMLuTlFaIbJRFLZepOzAoHWMuc8mg&oe=6A542B0D
Mohamed Kamal,3/2 الأرجنتين,https://www.facebook.com/cairo24/posts/pfbid0n4yfXRrXbdPxZt8jcweZAK1gQiYpu73q8JBp7MSZmCbkVmrdXzJ75aUWctVNZNAnl?comment_id=2001302367158970,Facebook,https://scontent-dfw5-1.xx.fbcdn.net/v/t39.30808-1/480145699_3959791521006361_201843475082995770_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx856x858&ctp=s32x32&_nc_cat=105&ccb=1-7&_nc_sid=e99d92&_nc_ohc=VY_09Ec8_W4Q7kNvwFO8RmJ&_nc_oc=AdoPPSKCwctMO4V8Y-6A_XfqKd1aqTzp-ZcFr7WL4G-c6cezAgsDPrkECgW9DecLkJU&_nc_zt=24&_nc_ht=scontent-dfw5-1.xx&_nc_gid=KzazvMqqZIgbs5-ZBWR0lQ&_nc_ss=72289&oh=00_AQDWQFAmTkNGMIjl-oifqH9TpC8yhsAnkNP-8XEalluGfw&oe=6A542400
Mohamed Naser,3/2 الأرجنتين,https://www.facebook.com/cabmohamed.nasr,Facebook,https://scontent-hou1-1.xx.fbcdn.net/v/t39.30808-1/319331701_1554670581718420_5914861075828592997_n.jpg?stp=c4.0.373.373a_cp0_dst-jpg_tt6&cstp=mx373x373&ctp=s32x32&_nc_cat=104&ccb=1-7&_nc_sid=1d2534&_nc_ohc=nWrR8DyeX0sQ7kNvwHN8klG&_nc_oc=AdqO30kTPUCBKU3y9mCSYKvj1uKIfpgzqQZUsZX6fiS9mZOR5DU-bYq6mN9fAuCY8sk&_nc_zt=24&_nc_ht=scontent-hou1-1.xx&_nc_gid=GABejOOUFo-TdESmt91ieQ&_nc_ss=72289&oh=00_AQA9xYmpm4yt8lHTdPAaROLByl-CVDZ87fTBhFNkzav6qQ&oe=6A540BD9
Mohamed Salah,"3/2 الارجنتين 
واتمني العكس",https://www.facebook.com/mohamedsalah.elazab.3,Facebook,https://scontent-dfw5-2.xx.fbcdn.net/v/t39.30808-1/675047474_2018658875351728_3114980694046234392_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1280x1280&ctp=s32x32&_nc_cat=104&ccb=1-7&_nc_sid=e99d92&_nc_ohc=hcUd0bRsywUQ7kNvwEfH0sq&_nc_oc=AdqCR3fa7O3eOu6yYB7oGYcaUGboCAgoIofJYiwQYCRuHymJVQZxOUuc6VoHAoWWka8&_nc_zt=24&_nc_ht=scontent-dfw5-2.xx&_nc_gid=-bJPqwUdJnaAhSGjNZO6iw&_nc_ss=72289&oh=00_AQAkiIYi-YCpuBkXtDTi_bmmy16aoD8knQYq-v6vnlHSAw&oe=6A54206D
MǿhąMèd Rëdä,٣/٢للارچنتين,https://www.facebook.com/m.hamed.reda.297758,Facebook,https://scontent-atl3-3.xx.fbcdn.net/v/t39.30808-1/585297072_4256332407921787_975158488285955398_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1080x1080&ctp=s32x32&_nc_cat=107&ccb=1-7&_nc_sid=1d2534&_nc_ohc=LABmlKwlvmAQ7kNvwFfzhvv&_nc_oc=AdqAEQI_Pi8WhdPA65CmoU-R75F7ogUxzvi_A6Po40f7qwvtZhbiAEHsbLSEKBHt2GQ&_nc_zt=24&_nc_ht=scontent-atl3-3.xx&_nc_gid=gDePRC1M8liaRemb-VdXHw&_nc_ss=72289&oh=00_AQBB6-31V7K1dK0aH3QomTA6xsHFOMd5u4hsQSoCtUJ62w&oe=6A543532
Rezq Tawfek,3/2 لمنتخب الأرجنتين للاسف,https://www.facebook.com/cairo24/posts/pfbid0n4yfXRrXbdPxZt8jcweZAK1gQiYpu73q8JBp7MSZmCbkVmrdXzJ75aUWctVNZNAnl?comment_id=2087052735176347,Facebook,https://scontent-den2-1.xx.fbcdn.net/v/t39.30808-1/486769888_1172664977842079_8416843903295000327_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx720x726&ctp=s32x32&_nc_cat=103&ccb=1-7&_nc_sid=e99d92&_nc_ohc=q6pqQPBX8okQ7kNvwF4WqGE&_nc_oc=AdrIl4aUDP2lrXBk17aFvlgWnRUu4YBuOnH7tzW-A2v1s5T4B5V7_0MusDwmJ3rJCCE&_nc_zt=24&_nc_ht=scontent-den2-1.xx&_nc_gid=67SEJzKXZ_i_O2RFfJA7cA&_nc_ss=72289&oh=00_AQCtVa8GUcUHJc3usripXDB8D3jUYH8Iv4gxzWT5L5Ne_g&oe=6A5428F1
Sadek A Elhmeed,3/2 للأرجنتين 😂,https://www.facebook.com/people/Sadek-A-Elhmeed/100053616159446/,Facebook,https://scontent-sjc6-1.xx.fbcdn.net/v/t39.30808-1/582425325_1391793759284483_5091509058076575049_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx968x960&ctp=s32x32&_nc_cat=100&ccb=1-7&_nc_sid=1d2534&_nc_ohc=fzPZexoHUvUQ7kNvwFoRFW6&_nc_oc=AdpVSwd1Bidl5WHMM4U_ZaQHDvY2MNU9Nb98egeM2hTAs6FcSAmXqbp_v7t5wX00gyo&_nc_zt=24&_nc_ht=scontent-sjc6-1.xx&_nc_gid=vZXg6k7R4u_7ybqdUiwcOw&_nc_ss=72289&oh=00_AQChJ-ZJEV27LT5R8IZBwrm0orMYpidjUQmdBt0hS7I9hw&oe=6A5423AF
Sherif Eldesouky,٣/٢للارجنتين,https://www.facebook.com/sherif.eldesouky.92,Facebook,https://scontent-sea5-1.xx.fbcdn.net/v/t39.30808-1/379912671_3568212050120069_372488710467579727_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx958x958&ctp=s32x32&_nc_cat=102&ccb=1-7&_nc_sid=e99d92&_nc_ohc=IB0CcnWJJRkQ7kNvwF3PyGN&_nc_oc=AdoFClIkEFseNSjSNG9bk5uxyaYHL3pwiqaC7Ai5jetDTgflrV565gToByIQlju1idY&_nc_zt=24&_nc_ht=scontent-sea5-1.xx&_nc_gid=lt3SAjU38MO2FLBi8BA-ww&_nc_ss=72289&oh=00_AQAt4Y-Cr2QtNqUDhIebedAlMADwNpcjyQg9U_e4VVKSIA&oe=6A5419E1
fatma158882,الارجنتين ٣ مصر ٢,https://www.instagram.com/fatma158882/,Instagram,https://scontent-hou1-1.cdninstagram.com/v/t51.82787-19/543696957_17853775071531323_5940511586249358373_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_cat=111&ccb=7-5&_nc_sid=f7ccc5&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLnd3dy4xMDgwLkMzIn0%3D&_nc_ohc=hC8YNfr6mHIQ7kNvwHLcwsO&_nc_oc=Adq1v09lIsLyywl4vr-2XU4FUdFhpYEzijYbGx7W4X4X-dhz9RO9IJVBLhRXKZlIgvk&_nc_zt=24&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_gid=sxL31HCIiuzXb01D6sms9g&_nc_ss=7c689&oh=00_AQAtia5VIm6TqRKtRJaIcBbJlQbUeYw7HduDjP7BtouuOQ&oe=6A542360
أحمد جودة,فوز الارجنتين ٣/٢,https://www.facebook.com/ahmd.jwdt.212017,Facebook,https://scontent-atl3-3.xx.fbcdn.net/v/t39.30808-1/327149472_492546759618344_8004739054789107371_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx960x960&ctp=s32x32&_nc_cat=111&ccb=1-7&_nc_sid=e99d92&_nc_ohc=j-BfYCTnESgQ7kNvwHKlUpi&_nc_oc=Adp6Etu3nTogg1auDoUY74IxDDlcQKWMTODMXG5aDUfl-r7hCwi7SDz-4w7GUowk31k&_nc_zt=24&_nc_ht=scontent-atl3-3.xx&_nc_gid=iswaztiOsYQgAEX4I6Q6wQ&_nc_ss=72289&oh=00_AQDyRfINyGKf0lq2NtODLlvLwfczyjMH2SzTQqwEQZzm6g&oe=6A54200C
سمير الليثى,الأرجنتين 3/2 مصر,https://www.facebook.com/cairo24/posts/pfbid0n4yfXRrXbdPxZt8jcweZAK1gQiYpu73q8JBp7MSZmCbkVmrdXzJ75aUWctVNZNAnl?comment_id=2475576899576136,Facebook,https://scontent-den2-1.xx.fbcdn.net/v/t39.30808-1/466862959_10228185474009677_2562995825544015388_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx1430x1440&ctp=s32x32&_nc_cat=110&ccb=1-7&_nc_sid=e99d92&_nc_ohc=h51SYLyUWmkQ7kNvwEBVmfP&_nc_oc=Adow8op_nBaeim4OWMJZrYC5dUDq2XtXx3MmD_CU1wXeoJ_nFGJjzFwNiKURiswWaf8&_nc_zt=24&_nc_ht=scontent-den2-1.xx&_nc_gid=RsLgQRmhpctOh2zT-Pe-Nw&_nc_ss=72289&oh=00_AQAzCt2qqNldq6YgOtJhDnK5yBniTkZ3VX4UGhKr19HV2g&oe=6A5435EC
عبدالرحمن حمدي,3/2للارچنتين,https://www.facebook.com/abdo.hamdy.7921,Facebook,https://scontent-hou1-1.xx.fbcdn.net/v/t39.30808-1/668977513_2828877964170992_8660577647550995704_n.jpg?stp=cp0_dst-jpg_tt6&cstp=mx2046x2048&ctp=s32x32&_nc_cat=110&ccb=1-7&_nc_sid=e99d92&_nc_ohc=ttw3gbFGbeEQ7kNvwHOzkSQ&_nc_oc=AdpE_zhB-z_b6kHj1Z3HDWJd1Ov-o7rvNh6tHPJdhdg-mA5cbywPGHFTW_QXAd6dgzk&_nc_zt=24&_nc_ht=scontent-hou1-1.xx&_nc_gid=0ujjniNB9DInZcxcgUT-Ew&_nc_ss=72289&oh=00_AQCqdHw_71v8WhiT2jyx4YF_14DnMTxr5A0qh5ojGJrJqQ&oe=6A542E61
فؤاد سامى,فوز الارجنتين 2/3,https://www.facebook.com/fwad.samy.887344,Facebook,https://scontent-lga3-1.xx.fbcdn.net/v/t1.6435-1/122409087_2830241287219750_7170325022480310235_n.jpg?stp=c0.0.180.180a_cp0_dst-jpg_tt6&cstp=mx180x180&ctp=s32x32&_nc_cat=109&ccb=1-7&_nc_sid=e99d92&_nc_ohc=5Rnv51vTgBgQ7kNvwGCdHRH&_nc_oc=AdozPBKZyeEcReydrJpREfXMRvJCfJZBr7ftGyyVLsDVWn7iNC7buStvgN9BnHCQYp4&_nc_zt=24&_nc_ht=scontent-lga3-1.xx&_nc_gid=fsmb8D3o8udjs9vl6fIcSw&_nc_ss=72289&oh=00_AQCQl850tHRLOay4e9hJgd01PO6rUN3LgyEht8XBiuKONQ&oe=6A75A07E
